 	Area	Mean	X	Y	XM	YM
4012	3289	125.113	324.397	246.678	324.513	246.650
4013	3305	125.016	324.089	246.749	324.190	246.721
4014	3296	124.746	324.134	246.569	324.245	246.552
4015	3290	124.742	324.126	246.720	324.235	246.702
4016	3286	124.736	324.340	246.407	324.455	246.371
4017	3281	124.901	324.408	246.927	324.534	246.873
4018	3283	124.968	324.550	246.750	324.673	246.697
4019	3279	124.969	324.344	246.441	324.471	246.395
4020	3278	125.382	324.765	246.225	324.908	246.179
4021	3283	125.649	324.369	246.184	324.486	246.139
4022	3252	125.764	324.901	245.882	325.034	245.844
4023	3248	125.664	324.686	246.034	324.822	245.991
4024	3277	125.778	324.521	245.543	324.643	245.501
4025	3276	125.614	324.448	245.683	324.579	245.649
4026	3283	125.400	324.307	245.721	324.424	245.674
4027	3279	125.413	324.522	245.348	324.634	245.297
4028	3292	125.627	324.048	244.913	324.155	244.871
4029	3283	125.532	324.405	245.620	324.526	245.583
4030	3284	125.361	324.117	245.676	324.236	245.632
4031	3290	125.214	324.243	245.768	324.356	245.709
4032	3287	125.523	323.959	245.518	324.065	245.466
4033	3301	125.469	323.690	245.290	323.800	245.251
4034	3316	125.440	323.437	244.984	323.534	244.940
4035	3307	125.441	323.606	244.753	323.700	244.714
4036	3310	125.469	323.409	244.696	323.528	244.663
4037	3306	125.678	323.617	244.630	323.716	244.603
4038	3315	125.551	323.224	244.961	323.320	244.954
4039	3307	125.416	323.467	245.613	323.557	245.579
4040	3307	125.468	323.376	245.960	323.460	245.945
4041	3315	125.577	323.367	246.410	323.451	246.399
4042	3312	125.620	323.665	246.800	323.752	246.803
4043	3318	125.412	323.425	246.809	323.503	246.799
4044	3316	125.422	323.438	246.688	323.513	246.671
4045	3302	125.625	323.410	247.058	323.492	247.036
4046	3298	125.924	323.617	246.689	323.695	246.660
4047	3311	125.817	323.156	246.913	323.219	246.888
4048	3306	125.976	323.145	246.931	323.199	246.893
4049	3340	125.950	322.794	246.874	322.851	246.840
4050	3345	125.979	322.635	246.993	322.705	246.961
4051	3335	125.756	322.573	247.344	322.651	247.320
4052	3343	125.946	322.805	247.199	322.876	247.156
4053	3330	125.977	322.625	247.135	322.709	247.082
4054	3349	126.438	322.517	247.076	322.589	247.038
4055	3324	126.390	322.833	247.055	322.918	247.029
4056	3322	126.771	322.701	246.694	322.785	246.657
4057	3328	126.612	323.195	246.372	323.273	246.365
4058	3317	126.435	322.976	246.156	323.045	246.145
4059	3307	126.461	323.592	245.887	323.667	245.879
4060	3301	126.104	323.512	245.256	323.602	245.254
4061	3307	126.490	323.747	244.716	323.837	244.707
4062	3297	126.444	323.641	245.095	323.729	245.083
4063	3298	126.596	323.347	245.274	323.412	245.256
4064	3314	126.639	323.142	245.534	323.224	245.527
4065	3298	126.559	323.574	245.836	323.650	245.831
4066	3304	126.315	323.532	245.980	323.613	245.967
4067	3309	126.255	323.648	246.131	323.740	246.116
4068	3306	126.406	323.378	246.123	323.451	246.113
4069	3298	126.646	323.214	245.691	323.291	245.685
4070	3298	126.484	323.074	246.126	323.168	246.113
4071	3313	126.546	323.067	245.718	323.155	245.702
4072	3296	126.129	323.527	245.506	323.630	245.479
4073	3304	126.174	323.222	245.437	323.328	245.422
4074	3305	126.223	323.498	245.265	323.602	245.247
4075	3304	125.921	323.145	245.410	323.245	245.395
4076	3296	126.213	323.620	245.088	323.725	245.065
4077	3295	126.069	323.557	244.879	323.665	244.854
4078	3277	126.281	323.953	245.158	324.067	245.133
4079	3286	126.394	323.773	245.327	323.886	245.289
4080	3268	126.528	323.920	245.609	324.047	245.576
4081	3262	126.530	324.091	245.079	324.215	245.051
4082	3248	126.728	324.205	244.472	324.337	244.435
4083	3241	126.772	324.104	244.522	324.251	244.497
4084	3238	126.737	324.185	244.828	324.324	244.801
4085	3259	126.744	324.236	244.656	324.373	244.620
4086	3247	126.950	324.174	244.763	324.311	244.729
4087	3245	127.038	324.179	244.605	324.314	244.568
4088	3259	126.916	323.864	244.602	323.985	244.567
4089	3282	126.383	324.051	244.979	324.184	244.957
4090	3273	126.525	323.701	245.106	323.835	245.080
4091	3268	126.899	324.126	245.011	324.265	244.994
4092	3242	127.232	323.920	245.189	324.050	245.165
4093	3263	127.612	323.848	244.854	323.977	244.834
4094	3259	127.068	323.722	244.843	323.867	244.824
4095	3256	127.143	323.801	244.951	323.931	244.931
4096	3235	127.162	324.055	245.104	324.196	245.091
4097	3249	126.828	323.933	245.528	324.075	245.517
4098	3267	126.901	323.903	245.501	324.057	245.481
4099	3245	126.938	323.912	244.776	324.069	244.756
4100	3254	126.948	323.963	244.927	324.115	244.899
4101	3262	127.039	323.735	245.200	323.888	245.176
4102	3269	126.760	323.903	245.394	324.045	245.373
4103	3270	126.771	323.755	245.649	323.905	245.622
4104	3264	126.647	323.972	246.107	324.126	246.088
4105	3253	127.052	323.650	245.711	323.799	245.698
4106	3276	127.125	323.893	245.493	324.032	245.472
4107	3257	127.187	323.934	244.851	324.080	244.821
4108	3261	127.417	324.337	245.023	324.485	245.005
4109	3254	127.123	324.357	244.876	324.494	244.834
