 	Area	Mean	X	Y	XM	YM
3233	3762	120.313	317.208	244.486	317.366	244.426
3234	3764	120.147	317.259	244.358	317.412	244.302
3235	3750	120.340	317.327	244.027	317.482	243.968
3236	3761	120.467	317.034	244.536	317.174	244.467
3237	3749	120.382	317.264	244.198	317.405	244.133
3238	3746	120.467	316.809	244.002	316.948	243.941
3239	3778	120.085	316.859	243.932	317.006	243.872
3240	3776	119.834	316.824	243.902	316.970	243.828
3241	3777	119.974	316.703	244.060	316.845	243.983
3242	3775	119.974	316.867	243.752	317.005	243.681
3243	3781	119.821	316.568	243.263	316.728	243.200
3244	3764	119.728	317.132	242.660	317.290	242.591
3245	3746	119.800	316.872	242.807	317.037	242.724
3246	3749	119.655	317.306	243.227	317.469	243.144
3247	3754	119.531	316.981	243.441	317.144	243.360
3248	3744	119.411	317.060	244.014	317.230	243.932
3249	3737	119.224	317.267	244.740	317.427	244.647
3250	3731	119.374	317.523	244.191	317.709	244.106
3251	3727	119.283	317.433	244.691	317.612	244.605
3252	3721	119.154	317.674	244.860	317.858	244.779
3253	3724	119.363	317.299	244.949	317.487	244.882
3254	3711	119.490	317.703	244.333	317.886	244.272
3255	3721	119.470	317.474	243.910	317.656	243.843
3256	3715	119.682	317.479	244.134	317.645	244.066
3257	3703	119.424	317.974	243.877	318.151	243.816
3258	3708	119.678	317.378	244.069	317.538	244.017
3259	3692	120.065	318.003	244.563	318.157	244.518
3260	3662	120.069	317.961	244.111	318.104	244.076
3261	3680	119.920	318.107	244.505	318.262	244.456
3262	3698	120.088	318.125	244.515	318.275	244.467
3263	3696	119.818	317.782	244.978	317.926	244.952
3264	3715	119.606	317.629	244.119	317.777	244.087
3265	3725	119.420	317.683	243.476	317.816	243.445
3266	3730	119.201	317.407	243.298	317.552	243.266
3267	3731	119.662	317.569	243.077	317.723	243.063
3268	3721	119.486	317.360	243.119	317.521	243.081
3269	3737	119.660	317.656	242.823	317.823	242.777
3270	3722	119.904	317.724	243.127	317.883	243.074
3271	3711	119.407	317.602	242.665	317.780	242.588
3272	3708	119.630	318.020	242.363	318.197	242.289
3273	3682	120.095	317.730	242.988	317.913	242.899
3274	3709	119.884	317.615	243.491	317.788	243.406
3275	3738	119.362	317.311	243.241	317.489	243.158
3276	3731	119.322	317.101	243.222	317.301	243.131
3277	3738	119.300	317.387	243.486	317.585	243.385
3278	3732	118.950	317.429	243.118	317.631	243.030
3279	3724	119.063	317.330	243.690	317.522	243.600
3280	3745	119.248	317.343	243.662	317.528	243.570
3281	3732	119.132	317.010	243.151	317.190	243.084
3282	3714	119.019	317.716	243.357	317.910	243.278
